Location,avgGDP_10year,Weighted_avgGDP_10year,WeightAvg_ComparedCanada
Mauritania,1399.89,1371.14,-45390.73
Cambodia,1166.47,1368.12,-45393.75
Senegal,1322.14,1362.84,-45399.03
Comoros,1376.23,1360.57,-45401.3
Lesotho,1307.51,1312.95,-45448.92
Kyrgyz Republic,1189.93,1239.61,-45522.26
Zimbabwe,1289.94,1210.61,-45551.26
Myanmar,1154.21,1207.17,-45554.7
Benin,1161.48,1184.69,-45577.17
Sudan,1391.79,1103.86,-45658.01
Yemen,1195.62,1054.24,-45707.63
Tanzania,943.1,1013.18,-45748.69
Chad,1016.7,934.68,-45827.19
Nepal,801.57,912.3,-45849.57
Mali,837.46,874.02,-45887.85
Tajikistan,888.68,873.35,-45888.52
Guinea,733.01,832.96,-45928.91
Haiti,777.82,791.69,-45970.18
Ethiopia,648.55,787.15,-45974.72
Rwanda,723.85,767.92,-45993.95
Guinea-Bissau,705.63,749.51,-46012.36
Uganda,714.98,730.2,-46031.67
Liberia,717.64,723.98,-46037.89
Gambia,715.18,717.91,-46043.96
Burkina Faso,655.96,677.69,-46084.17
Togo,602.79,632.45,-46129.42
Afghanistan,584.3,557.51,-46204.35
Sierra Leone,561.06,554.28,-46207.59
Mozambique,506.25,487.89,-46273.98
Madagascar,440.82,448.5,-46313.37
Congo,406.37,448.48,-46313.39
Central African Republic,440.6,435.05,-46326.82
Niger,388.09,395.26,-46366.6
Malawi,365.16,356.86,-46405.01
Eritrea,368.6,354.7,-46407.17
Burundi,281.44,297.17,-46464.7
Syria,2806.68,95.83,-46666.04
